query_id,query,category,backend,rank,content_type,source_id,title,url,similarity,combined_score,graph_hops,latency_ms,relevance_0_to_3
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pgvector-only,1,article,7c56ae82-0bbd-42a0-919e-0c9d8a3ed495,"Europe deploys 3.4GWh of BESS in March, 19% of global total",https://www.energy-storage.news/europe-deploys-3-4gwh-of-bess-in-march-19-of-global-total/,0.7324,0.6696,,633,
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pgvector-only,2,article,0d406b21-ecd1-4c3f-99ed-d67841b09406,Copenhagen Infrastructure Partners sells 960MWh Summerfield Battery to Palisade in South Australia,https://www.energy-storage.news/copenhagen-infrastructure-partners-sells-960mwh-summerfield-battery-to-palisade-in-south-australia/,0.7199,0.6619,,633,
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pgvector-only,3,article,cfc31d78-b487-4deb-9347-41e95ba66975,Danish giant sells giga-scale battery as project readies to hit the grid,https://reneweconomy.com.au/danish-giant-sells-giga-scale-battery-as-project-readies-to-hit-the-grid/?utm_source=rss&utm_medium=rss&utm_campaign=danish-giant-sells-giga-scale-battery-as-project-readies-to-hit-the-grid,0.7189,0.6613,,633,
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pgvector-only,4,article,b50dc413-28f5-4a15-9718-d5ea41540d2b,Palisade inks deal to buy South Australian big battery project,https://www.pv-magazine-australia.com/2026/04/14/pallisade-inks-deal-to-buy-south-australian-big-battery-project/,0.7165,0.6599,,633,
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pgvector-only,5,article,2d208434-4534-4f04-910d-30fc755648ac,Update - Dividend/Distribution - ORG,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=2924-03070486-2A1661463,0.7207,0.6484,,633,
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pgvector-only,6,article,10f7b4ab-2ade-4acd-9c82-ac8b1308d8e9,Results of Annual General Meeting 9 April 2026,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=2924-03077169-2A1665467,0.6941,0.6437,,633,
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pgvector-only,7,article,d740549d-54b4-44ed-8390-410e04d018be,Release of HY26 Financial Statements,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=2924-03077295-2A1665532,0.6779,0.6341,,633,
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pgvector-only,8,article,103c2340-81ce-4ad3-bfbc-e7f39052ea1d,Five battery projects totalling 7.9 GWh advance through approvals,https://www.pv-magazine-australia.com/2026/03/30/five-battery-projects-totalling-7-9-gwh-advance-through-approvals/,0.6855,0.6328,,633,
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pgvector-only,9,article,a014ed30-9d15-4112-94d4-61d8a191958f,Australia’s Transgrid shortlists 2GW of grid battery storage to replace coal’s system strength in NSW,https://www.energy-storage.news/australias-transgrid-shortlists-2gw-of-grid-battery-storage-to-replace-coals-system-strength-in-nsw/,0.6857,0.6308,,633,
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pgvector-only,10,article,86078c0c-ccfb-45c4-ba31-daf26d896dd0,Transgrid shortlists 2 GW of batteries to strengthen NSW grid,https://www.pv-magazine-australia.com/2026/03/30/transgrid-shortlists-2-gw-of-batteries-to-strengthen-nsw-grid/,0.6801,0.6296,,633,
